test,period,psd
1_control_dl,42.0,8890.231701403067
1_control_dl,33.6,49213.03151853275
1_control_dl,28.0,2949866.611247512
1_control_dl,24.0,9895568.363490269
1_control_dl,21.0,2827171.9192871763
1_control_dl,18.666666666666668,279233.7357201907
1_control_dl,16.8,73528.24128268674
1_control_dl,15.272727272727275,2653.4207019448504
1_control_dl,14.0,50749.37326300128
1_control_dl,12.923076923076923,680140.5086150019
1_control_dl,12.0,3393779.1292505567
1_control_dl,11.200000000000001,602725.8584408809
1_control_dl,10.5,220534.69590605568
1_control_dl,9.882352941176471,149790.89686184772
1_control_dl,9.333333333333334,13864.316184321227
1_control_dl,8.842105263157896,10588.413138888243
1_control_dl,8.4,573331.691914761
1_control_dl,8.0,1851769.761398868
1_control_dl,7.636363636363638,185673.4340084906
1_control_dl,7.304347826086957,58604.32365833328
1_control_dl,7.0,23020.189178168253
1_control_dl,6.72,16354.291905846128
1_control_dl,6.461538461538462,16243.308579231187
1_control_dl,6.222222222222223,710075.906468096
1_control_dl,6.0,1570689.3426505094
1_control_dl,5.793103448275862,294833.99351303995
1_control_dl,5.6000000000000005,12509.990319628272
1_control_dl,5.419354838709678,12969.020173432782
1_control_dl,5.25,17453.897064308185
1_control_dl,5.090909090909091,35266.074864359485
1_control_dl,4.9411764705882355,196285.92519418744
1_control_dl,4.800000000000001,241035.41918816647
1_control_dl,4.666666666666667,93119.10129022328
1_control_dl,4.54054054054054,46351.43185212888
1_control_dl,4.421052631578948,74594.49261784353
1_control_dl,4.307692307692308,17073.75975411046
1_control_dl,4.2,10336.667978887277
1_control_dl,4.097560975609756,5246.4206406266985
1_control_dl,4.0,96475.2410192826
1_control_dl,3.906976744186047,11067.273575296904
1_control_dl,3.818181818181819,34729.760676643746
1_control_dl,3.7333333333333334,13379.218996652215
1_control_dl,3.6521739130434785,2697.4320364868736
1_control_dl,3.574468085106383,2101.1078200570055
1_control_dl,3.5,10726.716211494548
1_control_dl,3.428571428571429,16026.037858937903
1_control_dl,3.36,685.3156324019168
1_control_dl,3.294117647058824,52.976393787925744
1_control_dl,3.230769230769231,48.71054056672597
1_control_dl,3.169811320754717,169.24491920383733
1_control_dl,3.1111111111111116,11.328309182650674
1_control_dl,3.0545454545454547,17.646947499021362
1_control_dl,3.0,44.222147379907504
1_control_dl,2.947368421052632,2.6788712836717177
1_control_dl,2.896551724137931,220.43417790813407
1_control_dl,2.8474576271186445,174.1318468744257
1_control_dl,2.8000000000000003,1911.1978226883086
1_control_dl,2.7540983606557377,41.488029261547545
1_control_dl,2.709677419354839,2566.476829634452
1_control_dl,2.6666666666666665,4051.5868027214724
1_control_dl,2.625,6942.205965907794
1_control_dl,2.5846153846153848,12453.009083772009
1_control_dl,2.5454545454545454,9902.149013439812
1_control_dl,2.5074626865671643,3120.204182868292
1_control_dl,2.4705882352941178,6497.730467681483
1_control_dl,2.4347826086956523,23127.277039741904
1_control_dl,2.4000000000000004,18470.274292231043
1_control_dl,2.3661971830985915,5549.894637777361
1_control_dl,2.3333333333333335,831.8602162153319
1_control_dl,2.301369863013699,2686.6351718325036
1_control_dl,2.27027027027027,20805.430525003016
1_control_dl,2.24,14348.372142010092
1_control_dl,2.210526315789474,4748.596227942505
1_control_dl,2.181818181818182,25590.708437806075
1_control_dl,2.153846153846154,10451.179348255297
1_control_dl,2.126582278481013,2744.8856634837152
1_control_dl,2.1,6263.399449245651
1_control_dl,2.0740740740740744,3221.1961283358755
1_control_dl,2.048780487804878,1296.2431816785497
1_control_dl,2.024096385542169,6875.698949120563
1_control_dl,2.0,14708.664020342942
2_control_dd,46.4,55897.41847356013
2_control_dd,43.5,154990.63680636234
2_control_dd,40.94117647058824,152853.95349563286
2_control_dd,38.666666666666664,14022.39668903427
2_control_dd,36.63157894736842,81074.18183596035
2_control_dd,34.8,255885.27011356322
2_control_dd,33.142857142857146,303158.1223321156
2_control_dd,31.636363636363633,85356.77415627903
2_control_dd,30.26086956521739,185892.451094255
2_control_dd,29.0,792005.9927035735
2_control_dd,27.840000000000003,881071.0806395537
2_control_dd,26.769230769230774,142821.35354334634
2_control_dd,25.77777777777778,27347.389093056183
2_control_dd,24.857142857142858,10410464.701984258
2_control_dd,24.0,63392249.884950966
2_control_dd,23.2,25616856.07337688
2_control_dd,22.451612903225804,56262.13140948929
2_control_dd,21.75,3715.9779499398046
2_control_dd,21.090909090909093,238616.71934051762
2_control_dd,20.47058823529412,149213.511337193
2_control_dd,19.885714285714286,81392.61023333152
2_control_dd,19.333333333333332,103261.31184339769
2_control_dd,18.81081081081081,1947.970577073158
2_control_dd,18.31578947368421,58071.738120289636
2_control_dd,17.846153846153847,47303.413559255336
2_control_dd,17.4,87954.35547633065
2_control_dd,16.975609756097562,103589.20428743889
2_control_dd,16.571428571428573,188286.17893675168
2_control_dd,16.186046511627907,19512.435860852587
2_control_dd,15.818181818181817,70564.5831835236
2_control_dd,15.466666666666665,237309.82645390095
2_control_dd,15.130434782608695,163632.8394451281
2_control_dd,14.808510638297872,31274.931438460182
2_control_dd,14.5,48221.96825123947
2_control_dd,14.204081632653061,23925.775268567653
2_control_dd,13.920000000000002,191870.39798062493
2_control_dd,13.647058823529413,101955.22129835121
2_control_dd,13.384615384615387,200051.7820738194
2_control_dd,13.132075471698112,187997.9932294418
2_control_dd,12.88888888888889,385512.6704482559
2_control_dd,12.654545454545454,229032.0123601914
2_control_dd,12.428571428571429,32267.066140384923
2_control_dd,12.210526315789474,1076671.9546201958
2_control_dd,12.0,7367999.559612443
2_control_dd,11.796610169491526,4260508.579246835
2_control_dd,11.6,162647.29547085337
2_control_dd,11.40983606557377,53983.04150809026
2_control_dd,11.225806451612902,617755.441650847
2_control_dd,11.047619047619047,742584.9809794518
2_control_dd,10.875,149682.7462103605
2_control_dd,10.707692307692309,42511.208373169306
2_control_dd,10.545454545454547,9981.660333088174
2_control_dd,10.388059701492539,85073.72406633652
2_control_dd,10.23529411764706,15784.416196868318
2_control_dd,10.08695652173913,21076.168510493262
2_control_dd,9.942857142857143,378139.453265779
2_control_dd,9.80281690140845,662895.8000123512
2_control_dd,9.666666666666666,34026.44939460852
2_control_dd,9.534246575342467,113571.87739418508
2_control_dd,9.405405405405405,61149.641795851625
2_control_dd,9.280000000000001,2577.703196316548
2_control_dd,9.157894736842104,16409.162800823855
2_control_dd,9.03896103896104,19054.837030870152
2_control_dd,8.923076923076923,14913.715424533511
2_control_dd,8.810126582278482,95556.44530610339
2_control_dd,8.7,142776.17527887522
2_control_dd,8.592592592592593,117015.9452760485
2_control_dd,8.487804878048781,28216.507653243614
2_control_dd,8.3855421686747,160295.80997364208
2_control_dd,8.285714285714286,400814.6570455219
2_control_dd,8.188235294117646,180668.08141901135
2_control_dd,8.093023255813954,66056.33562084335
2_control_dd,8.0,1601421.9465745531
2_control_dd,7.909090909090908,3061038.4700077274
2_control_dd,7.820224719101124,812521.0289358792
2_control_dd,7.7333333333333325,50410.92928448529
2_control_dd,7.648351648351649,23589.52477232775
2_control_dd,7.565217391304348,29498.388084753347
2_control_dd,7.483870967741936,39623.27210291844
2_control_dd,7.404255319148936,123507.40040418466
2_control_dd,7.326315789473685,60022.05352778984
2_control_dd,7.25,121299.52093895547
2_control_dd,7.175257731958762,61096.36163641777
2_control_dd,7.1020408163265305,87028.07485398011
2_control_dd,7.03030303030303,176870.06478439205
2_control_dd,6.960000000000001,99818.60714281084
2_control_dd,6.891089108910891,12146.42267579503
2_control_dd,6.8235294117647065,33795.13843540611
2_control_dd,6.757281553398058,69975.13158750875
2_control_dd,6.692307692307693,497710.99734646745
2_control_dd,6.628571428571429,210095.4541954627
2_control_dd,6.566037735849056,47187.62182759818
2_control_dd,6.504672897196262,133952.73420087624
2_control_dd,6.444444444444445,74385.59853073263
2_control_dd,6.385321100917432,38074.868462233
2_control_dd,6.327272727272727,30790.09686207815
2_control_dd,6.270270270270271,2099.3141157771493
2_control_dd,6.214285714285714,271.2154638011241
2_control_dd,6.15929203539823,5442.717899150078
2_control_dd,6.105263157894737,73790.73895372199
2_control_dd,6.052173913043478,203998.53011137707
2_control_dd,6.0,3503581.3416885207
2_control_dd,5.948717948717949,5239851.720148236
2_control_dd,5.898305084745763,411354.24354967836
2_control_dd,5.848739495798319,16301.42972642195
2_control_dd,5.8,79788.60674143382
2_control_dd,5.75206611570248,39139.65213908522
2_control_dd,5.704918032786885,78536.15518497962
2_control_dd,5.658536585365854,221146.43323886563
2_control_dd,5.612903225806451,78009.54523630963
2_control_dd,5.5680000000000005,31180.442201490463
2_control_dd,5.523809523809524,4374.533792332079
2_control_dd,5.480314960629921,82607.22710402224
2_control_dd,5.4375,106012.90670177258
2_control_dd,5.395348837209302,88685.1032388314
2_control_dd,5.353846153846154,220239.53937038418
2_control_dd,5.312977099236641,139336.65496033774
2_control_dd,5.272727272727273,126900.9661604874
2_control_dd,5.2330827067669174,221146.76242486195
2_control_dd,5.194029850746269,29086.82106099058
2_control_dd,5.155555555555556,72400.73427654228
2_control_dd,5.11764705882353,17504.585861624495
2_control_dd,5.08029197080292,50658.648563066476
2_control_dd,5.043478260869565,54737.276265802466
2_control_dd,5.0071942446043165,24714.166131480328
2_control_dd,4.9714285714285715,30497.09120002583
2_control_dd,4.9361702127659575,50091.46126896261
2_control_dd,4.901408450704225,81239.88334856745
2_control_dd,4.8671328671328675,21461.73859705117
2_control_dd,4.833333333333333,10507.154333421424
2_control_dd,4.8,1114372.0448306955
2_control_dd,4.767123287671233,1983947.9299416447
2_control_dd,4.73469387755102,359391.8636951151
2_control_dd,4.702702702702703,24842.380444765673
2_control_dd,4.671140939597316,4786.776672984534
2_control_dd,4.640000000000001,25431.34548052264
2_control_dd,4.609271523178808,39800.297932919784
2_control_dd,4.578947368421052,60418.33704175435
2_control_dd,4.549019607843137,3085.318572543464
2_control_dd,4.51948051948052,36433.64240647243
2_control_dd,4.490322580645161,51932.65424804945
2_control_dd,4.461538461538462,31282.414641237978
2_control_dd,4.43312101910828,16598.603073539296
2_control_dd,4.405063291139241,4431.7987355284495
2_control_dd,4.377358490566038,23392.40554812719
2_control_dd,4.35,20720.87026999574
2_control_dd,4.3229813664596275,12718.003804220236
2_control_dd,4.296296296296297,11642.885830200417
2_control_dd,4.269938650306749,16720.143178916536
2_control_dd,4.2439024390243905,17215.994319046556
2_control_dd,4.218181818181818,11953.424905048916
2_control_dd,4.19277108433735,20168.808002760645
2_control_dd,4.167664670658683,27561.149425333417
2_control_dd,4.142857142857143,20932.874999149848
2_control_dd,4.118343195266272,35041.819248931024
2_control_dd,4.094117647058823,9105.13297791166
2_control_dd,4.0701754385964914,3316.5948060093024
2_control_dd,4.046511627906977,14551.334465223556
2_control_dd,4.023121387283237,59396.29544585784
2_control_dd,4.0,1994.000470150781
2_control_dd,3.977142857142857,182291.732596099
2_control_dd,3.954545454545454,66081.45463093932
2_control_dd,3.9322033898305087,5402.380151464521
2_control_dd,3.910112359550562,13138.799552695715
2_control_dd,3.888268156424581,6537.314313952737
2_control_dd,3.8666666666666663,6327.597383665321
2_control_dd,3.8453038674033153,2792.8652719127217
2_control_dd,3.8241758241758244,1877.0292628776706
2_control_dd,3.8032786885245904,4159.378500012188
2_control_dd,3.782608695652174,3113.3197544210843
2_control_dd,3.762162162162162,418.6487438798651
2_control_dd,3.741935483870968,4366.103254794417
2_control_dd,3.72192513368984,727.5566770629073
