test,period,psd
1,48.0,6581.741525914613
1,36.0,1537.1774601953339
1,28.799999999999997,51057.44782517594
1,24.0,83253.35653435212
1,20.571428571428573,2714.802342499784
1,18.0,4754.603021827162
1,16.0,5882.986773754287
1,14.399999999999999,3019.6736674873796
1,13.090909090909092,696.3420097395757
1,12.0,114.21437523104133
1,11.076923076923077,1164.7600620490346
1,10.285714285714286,1379.3288198855914
1,9.600000000000001,1173.470386524268
1,9.0,2815.161767061212
1,8.470588235294118,8254.302308555094
1,8.0,1246.4220916651213
1,7.578947368421052,22.131336574856878
1,7.199999999999999,107.30572872172286
1,6.857142857142858,119.25121848929908
1,6.545454545454546,61.62723947211841
1,6.260869565217392,572.4789356576894
1,6.0,2056.1009972036713
1,5.76,140.2300840880983
1,5.538461538461538,584.6037045166858
1,5.333333333333333,801.4978247180962
1,5.142857142857143,2954.0498288518174
1,4.9655172413793105,743.0919895110619
1,4.800000000000001,4125.33757377973
1,4.645161290322581,2581.723427933237
1,4.5,755.0229233535539
1,4.363636363636364,2118.8603334319373
1,4.235294117647059,2352.1663628024667
1,4.114285714285715,3373.5312000276213
1,4.0,5811.681554931705
1,3.891891891891892,3602.229750544596
1,3.789473684210526,3860.5736459745312
1,3.6923076923076925,5143.272867304331
1,3.5999999999999996,243.67306248092797
1,3.5121951219512195,3483.4396769143514
1,3.428571428571429,4477.459037907376
1,3.3488372093023258,3414.415868696328
1,3.272727272727273,2487.2618063573946
1,3.2,611.1986980887154
1,3.130434782608696,357.3963337969279
1,3.0638297872340425,372.8291485196827
1,3.0,1580.9794204707928
1,2.938775510204082,796.4281002374158
1,2.88,45.2972911161583
1,2.823529411764706,1464.4685342979276
1,2.769230769230769,1232.249405721784
1,2.716981132075472,765.9595361061665
1,2.6666666666666665,858.8147558403738
1,2.618181818181818,2587.4560116301213
1,2.5714285714285716,2531.6908615011466
1,2.5263157894736845,135.59987238064312
1,2.4827586206896552,86.76675043525051
1,2.440677966101695,109.58019101307407
1,2.4000000000000004,2109.2064243966743
1,2.360655737704918,2191.9640360109915
1,2.3225806451612905,848.0402889948367
1,2.2857142857142856,144.08188008081274
1,2.25,2588.6110162282803
1,2.2153846153846155,607.6336637487173
1,2.181818181818182,301.5274875359395
1,2.1492537313432836,248.1824436113885
1,2.1176470588235294,864.4528243440662
1,2.0869565217391304,1898.8356444001583
1,2.0571428571428574,941.9257610639397
1,2.028169014084507,1259.899863446174
1,2.0,1004.9482477353854
1,1.9726027397260275,1668.1294383990148
1,1.945945945945946,3880.4088476001434
1,1.9200000000000004,2927.0314845649023
1,1.894736842105263,1640.6595297147308
1,1.87012987012987,453.3359420614147
1,1.8461538461538463,1025.5873304728914
1,1.8227848101265824,3935.5467514568554
1,1.7999999999999998,3636.7224391860705
1,1.7777777777777777,256.1757728134678
1,1.7560975609756098,37.35469478951333
1,1.7349397590361448,713.2774614912241
1,1.7142857142857144,964.9071181083024
1,1.6941176470588235,2981.9665022328354
1,1.6744186046511629,802.1600132608153
1,1.6551724137931036,4791.254161311272
1,1.6363636363636365,11553.47527466498
1,1.6179775280898878,1347.0864359122722
1,1.6,1469.5639293097681
1,1.5824175824175826,124.12331209712677
1,1.565217391304348,4464.5087717526
1,1.5483870967741937,5620.556248750395
1,1.5319148936170213,532.341942658616
1,1.5157894736842106,6824.050481637491
1,1.5,960.6981806455576
1,1.4845360824742269,1250.3541885490374
1,1.469387755102041,1314.4287061203293
1,1.4545454545454546,311.1054070584356
1,1.44,3750.993035596756
1,1.425742574257426,2743.1272284020542
1,1.411764705882353,6207.611500776567
1,1.3980582524271845,4697.71547914769
1,1.3846153846153846,965.935356599173
1,1.3714285714285714,283.90247534824897
1,1.358490566037736,2194.897687769607
1,1.3457943925233646,3020.848450675427
1,1.3333333333333333,233.39836192627646
1,1.3211009174311927,443.1690215522304
1,1.309090909090909,2264.4359498641725
1,1.2972972972972974,3780.6398565254826
1,1.2857142857142858,1195.762142175914
1,1.2743362831858407,951.5362999288172
1,1.2631578947368423,768.4154369736742
1,1.2521739130434784,6035.647004786531
1,1.2413793103448276,8318.017291026645
1,1.2307692307692308,3790.4997921561485
1,1.2203389830508475,336.1716445708469
1,1.2100840336134455,397.70827855635
1,1.2000000000000002,92.94611985080896
1,1.1900826446280992,2349.093939543424
1,1.180327868852459,887.8491544822756
1,1.1707317073170733,415.8488095837861
1,1.1612903225806452,2354.4274981026047
1,1.1520000000000001,852.4620848469308
1,1.1428571428571428,2526.2927423359197
1,1.1338582677165354,4876.592593211723
1,1.125,3948.9127904466077
1,1.1162790697674418,19432.567154933407
1,1.1076923076923078,24053.542761427798
1,1.099236641221374,8600.868050506708
1,1.090909090909091,424.9183503817367
1,1.0827067669172934,263.98153143183606
1,1.0746268656716418,2237.095852417818
1,1.0666666666666667,1231.49809682302
1,1.0588235294117647,342.48876546417847
1,1.051094890510949,1434.1953893423852
1,1.0434782608695652,1353.2737727406338
1,1.0359712230215827,2296.53152730138
1,1.0285714285714287,6177.089215228519
1,1.021276595744681,3451.6979931761443
1,1.0140845070422535,75.17385040086288
1,1.006993006993007,675.941505425239
1,1.0,1343.5833126029543
2,42.0,6274.343335664945
2,33.6,6948.11087076734
2,28.0,72633.82819684924
2,24.0,90726.08298486374
2,21.0,6822.324145281023
2,18.666666666666668,1791.3376109429519
2,16.8,2602.0968564161544
2,15.272727272727275,6093.187972899441
2,14.0,3577.5837136729474
2,12.923076923076923,1259.3278223457066
2,12.0,771.5338652994782
2,11.200000000000001,203.0213893384328
2,10.5,191.71291564363838
2,9.882352941176471,156.64145041424982
2,9.333333333333334,3083.119054647253
2,8.842105263157896,15107.303409502803
2,8.4,25866.776760094195
2,8.0,4921.095290202304
2,7.636363636363638,956.2572229609679
2,7.304347826086957,172.30606132245896
2,7.0,748.6061591444751
