Probeset_ID,Symbol,Time,Values,LombScargle_P,LombScargle_Q,LombScargle_period,LombScargle_phase,Tissue
10400304,Egln3,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,1810.0;1882.8;1711.9;1761.9;1480.7;1447.1;1374.7;1435.7;1192.9;1318.8;1456.9;1601.8;1812.3;1814.0;1836.4;2029.2;1973.5;1189.9;956.2;1332.6;1115.0;1242.3;1553.2;1499.8,0.00513,0.64523,24.783,21.59,heart
10496405,Gm5105,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,928.7;892.2;863.4;889.5;877.9;807.7;745.9;783.2;702.3;727.4;816.5;864.0;817.8;921.8;992.8;861.0;875.1;715.5;778.9;751.3;772.1;742.6;773.2;917.2,0.00516,0.64523,23.892,21.81,heart
10430510,Tmem184b,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,910.7;838.3;915.9;881.5;795.0;753.7;735.3;834.3;727.8;691.9;780.0;818.6;846.9;933.0;895.7;951.0;855.4;699.1;713.6;755.4;700.6;702.3;748.5;855.4,0.00599,0.678282,23.892,21.68,heart
10503222,Chd7,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,143.1;135.4;119.7;125.7;120.7;110.0;77.1;107.9;90.5;96.6;111.4;118.4;117.2;129.0;146.0;123.4;124.0;101.8;93.4;105.3;94.2;102.5;123.9;140.2,0.00615,0.682849,23.892,21.81,heart
10474181,Abtb2,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,449.1;402.0;389.3;358.5;389.3;321.9;334.2;353.9;302.4;293.5;364.8;415.4;401.2;492.4;501.6;373.1;379.3;331.0;310.0;296.3;316.7;318.5;359.0;437.4,0.00615,0.682849,24.783,21.39,heart
10399478,Lpin1,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,2057.8;2139.5;2159.2;2073.1;2025.5;2053.8;1864.4;1898.3;1724.7;1957.9;1927.4;2056.6;2048.1;2411.6;2328.6;2022.1;2248.7;1884.9;1761.7;1684.8;1821.1;1772.7;1837.6;1908.8,0.00622,0.682849,23.892,21.58,heart
10451123,Slc29a1,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,744.3;676.0;663.0;670.7;693.0;617.2;607.7;634.0;559.1;562.9;635.6;675.6;678.5;767.7;716.8;669.7;637.4;578.0;565.9;586.6;586.4;558.7;593.3;720.1,0.00625,0.682849,23.892,21.34,heart
10510260,Nppb,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,3997.2;3833.0;3238.0;4422.9;3647.7;2907.5;2605.4;3091.9;2060.1;2222.2;2826.6;3158.8;3269.1;4167.5;3955.8;4675.1;5018.6;2337.7;2510.5;2250.4;2110.8;2007.2;2783.3;3066.5,0.0065,0.684821,23.892,21.99,heart
10431300,Alg12,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,344.1;351.5;341.4;347.8;318.5;305.0;276.6;298.6;267.4;279.1;263.6;302.3;316.2;324.9;320.5;337.0;367.9;269.5;293.3;301.8;279.6;282.1;262.7;294.2,0.00664,0.690327,25.742,22.66,heart
10368970,Prdm1,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,108.6;123.4;115.2;141.1;123.9;105.6;103.7;104.8;78.7;83.9;85.6;103.7;112.4;100.8;99.8;116.5;125.9;126.9;108.5;97.7;96.8;83.5;98.4;91.1,0.00678,0.692812,25.742,1.32,heart
10523579,Arhgap24,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,222.0;248.1;261.6;227.8;225.4;219.6;199.9;215.1;194.9;208.3;180.7;209.4;241.4;256.4;279.9;256.5;215.3;238.9;219.0;215.0;189.2;195.8;206.6;214.9,0.00701,0.692812,24.783,22.38,heart
10497920,Ankrd50,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,408.0;428.2;436.6;436.0;392.3;424.5;356.9;361.6;352.9;357.0;361.9;395.6;413.6;422.3;419.7;449.8;382.8;439.5;392.2;383.5;357.2;366.8;385.3;417.2,0.00715,0.692812,23.892,22.56,heart
10465638,Naa40,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,358.5;350.5;316.2;338.5;325.2;311.7;296.9;322.2;263.1;295.7;297.5;338.2;322.2;347.1;394.2;355.3;345.3;337.1;301.8;299.5;269.2;285.2;318.7;324.0,0.00818,0.70855,25.742,22.09,heart
10556962,Vwa3a,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,187.3;226.2;204.7;210.1;198.0;172.4;176.2;167.6;170.8;155.3;145.1;171.3;174.5;225.2;217.9;210.9;202.3;198.3;171.7;184.5;131.8;180.9;160.3;197.9,0.00824,0.70855,23.892,22.65,heart
10579744,Large,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,1436.4;1484.5;1372.4;1406.7;1325.4;1292.2;1343.0;1390.0;1369.8;1439.8;1366.9;1446.5;1468.4;1583.6;1696.3;1540.0;1461.4;1415.7;1371.7;1283.8;1261.1;1325.7;1326.0;1390.1,0.0084,0.71112,30.458,21.5,heart
10583920,Eepd1,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,320.7;398.1;338.5;307.1;386.8;364.6;292.5;310.5;246.0;277.8;255.4;334.8;295.6;340.7;374.8;354.9;370.9;321.8;339.1;279.2;280.2;261.6;257.8;288.8,0.00859,0.722047,24.783,23.07,heart
