test,period,psd
1,48.0,579.1325200800374
1,32.0,738.0989389259221
1,24.0,46564.61881096176
1,19.200000000000003,4456.382529012539
1,16.0,5248.449346308317
1,13.714285714285715,608.391255697794
1,12.0,797.6636693799212
1,10.666666666666666,864.1962910324039
1,9.600000000000001,1687.1187889015846
1,8.727272727272728,1019.6686988469376
1,8.0,2394.2793237966634
1,7.384615384615385,2591.8058469145644
1,6.857142857142858,3998.9782843772064
1,6.4,494.18675333983566
1,6.0,780.6492472090929
1,5.647058823529412,2274.6665015714784
1,5.333333333333333,2726.825139676052
1,5.052631578947369,1092.352492298786
1,4.800000000000001,7012.974725926331
1,4.571428571428571,2240.7883924471
1,4.363636363636364,1449.7297104846602
1,4.173913043478261,2024.5865051937174
1,4.0,5066.746022398003
1,3.8400000000000007,884.1432900620948
1,3.6923076923076925,5.189516938349749
1,3.5555555555555554,582.2725532165746
1,3.428571428571429,89.88686464192389
1,3.3103448275862073,11318.324405253737
1,3.2,536.7262575454303
1,3.0967741935483875,48.65120657535219
1,3.0,2345.359375
1,2.909090909090909,564.31455633493
1,2.823529411764706,5606.062966677888
1,2.742857142857143,1520.917082370743
1,2.6666666666666665,4110.990253043506
1,2.5945945945945947,2349.2495208291243
1,2.5263157894736845,2520.0380480162808
1,2.4615384615384617,8707.337921941587
1,2.4000000000000004,5277.228324165015
1,2.3414634146341466,544.5422331413961
1,2.2857142857142856,779.6027575408191
1,2.2325581395348837,754.0645775624872
1,2.181818181818182,1969.3554498870756
1,2.1333333333333333,52.818840754812
1,2.0869565217391304,386.4559581131276
1,2.042553191489362,1503.6699835041193
1,2.0,11093.755208333332
1,1.959183673469388,188.54529105661885
1,1.9200000000000004,4256.951648843104
1,1.8823529411764706,3414.0485041927195
1,1.8461538461538463,911.7947481137871
1,1.8113207547169814,3347.978306729893
1,1.7777777777777777,5109.275146639437
1,1.7454545454545456,496.74170358488254
1,1.7142857142857144,831.1931447966329
1,1.6842105263157894,285.5678258223316
1,1.6551724137931036,777.1442660112632
1,1.6271186440677967,611.0590340682265
1,1.6,597.241834029515
1,1.5737704918032789,446.40704741237784
1,1.5483870967741937,3597.299249454337
1,1.5238095238095237,1473.6466120025775
1,1.5,222.25520833333314
1,1.476923076923077,7166.0724067115825
1,1.4545454545454546,1154.2624150022448
1,1.4328358208955225,646.9020235895581
1,1.411764705882353,1341.9622878769508
1,1.391304347826087,304.9193542413634
1,1.3714285714285714,833.419431300532
1,1.3521126760563382,759.9332903794808
1,1.3333333333333333,1095.7227276019987
1,1.315068493150685,170.41441507255314
1,1.2972972972972974,2126.2921483886676
1,1.28,855.6752414102086
1,1.2631578947368423,10.70473539100632
1,1.246753246753247,311.78039927891695
1,1.2307692307692308,141.43066334197715
1,1.2151898734177216,2787.310657881143
1,1.2000000000000002,2792.173669457574
1,1.1851851851851851,823.7686634952989
1,1.1707317073170733,938.8007254156882
1,1.1566265060240966,580.6331737949924
1,1.1428571428571428,2055.0927557969826
1,1.1294117647058823,690.7471152891513
1,1.1162790697674418,14.631820853469074
1,1.103448275862069,1340.6642374312628
1,1.090909090909091,591.3523616584289
1,1.0786516853932586,1612.1911473326868
1,1.0666666666666667,4288.969940612395
1,1.054945054945055,1864.8755481338487
1,1.0434782608695652,603.6607105344993
1,1.032258064516129,1819.778646744402
1,1.021276595744681,1345.0882494771304
1,1.0105263157894737,884.6220146585672
1,1.0,343.1484374999998
2,48.0,1731.641288539814
2,32.0,346.7021898933298
2,24.0,101031.81237594123
2,19.200000000000003,793.3862553622978
2,16.0,1561.26356354542
2,13.714285714285715,1434.6209298794815
2,12.0,1560.3699946751317
2,10.666666666666666,15.0467821796103
2,9.600000000000001,4670.509710821556
2,8.727272727272728,510.73206428977915
2,8.0,6770.239681631611
2,7.384615384615385,1523.098166752969
2,6.857142857142858,2960.048060884334
2,6.4,1295.8907695819562
2,6.0,1207.9624474461336
2,5.647058823529412,5109.006838492833
2,5.333333333333333,2549.5349294094835
2,5.052631578947369,71.55614609097177
2,4.800000000000001,6570.5562026196285
2,4.571428571428571,1662.4147624071634
2,4.363636363636364,2153.303071956295
2,4.173913043478261,585.1637591687041
2,4.0,3099.912531388013
2,3.8400000000000007,3154.536056373735
2,3.6923076923076925,6967.819178957536
2,3.5555555555555554,527.3956286785533
2,3.428571428571429,3913.753480269423
2,3.3103448275862073,21.881623255222088
2,3.2,5610.855326105303
2,3.0967741935483875,563.6531473911962
2,3.0,2143.598958333333
2,2.909090909090909,658.0367693129799
2,2.823529411764706,208.24448981918255
2,2.742857142857143,2102.3320584287603
2,2.6666666666666665,3627.7348992422867
2,2.5945945945945947,2265.619314589101
2,2.5263157894736845,4095.359119225758
2,2.4615384615384617,2259.509920894112
2,2.4000000000000004,157.0737046123125
2,2.3414634146341466,748.3185732537987
2,2.2857142857142856,223.58183033545805
2,2.2325581395348837,2136.0878550607995
2,2.181818181818182,3873.874192024658
2,2.1333333333333333,1190.0919666262437
2,2.0869565217391304,3017.893050709473
2,2.042553191489362,970.0590800118758
2,2.0,295.96354166666663
2,1.959183673469388,472.7778991925748
2,1.9200000000000004,6028.286465445164
2,1.8823529411764706,841.7449104998478
2,1.8461538461538463,1809.5828488641814
2,1.8113207547169814,1650.240683581804
2,1.7777777777777777,1361.2190549534855
2,1.7454545454545456,1083.1935818902798
2,1.7142857142857144,425.63244524227787
2,1.6842105263157894,2846.7817712427486
2,1.6551724137931036,3216.295003323149
2,1.6271186440677967,2412.4234143236454
2,1.6,4634.80246668381
2,1.5737704918032789,2786.7429496940786
2,1.5483870967741937,140.7789024831776
2,1.5238095238095237,2923.6258040922858
2,1.5,2146.265625
2,1.476923076923077,222.7858877634569
2,1.4545454545454546,295.51286905597004
2,1.4328358208955225,1036.0221548977834
2,1.411764705882353,112.80205575935948
2,1.391304347826087,8.020099022062405
